id;modelo_cadastrado;descritivo;preco;prazo;tpl;descricao_tpl;tensao;acdc;vias;operacao;conexoes;tipo_conexao;mat_corpo;protecao;switch_manual;conexao_eletrica;classe_potencia;classe_bobina;feature;vedacoes;vedacoes_catalogadas;orificio;kv;pmin;pman_ar_gas;pmax_agua;pmax_oleo;temperatura;potencia;construcao
-82620126;8223A003 24/DC;"Válvula solenoide ASCO, simples, para uso geral 2/2 vias, normal fechada, sem operador manual, conexão ao processo em 1/4"" NPT, corpo em aço inoxidável 303, vedações em NBR, orifício de 1,2 mm, Kv = 0,05, pressão diferencial de operação (ar/gás): 0 à 35 bar; pressão diferencial de operação (água): 0 à 35 bar; pressão diferencial de operação (óleo): 0 à 35 bar;  temperatura máxima de 50 °C, classe de proteção IP-40 (Uso geral), conexão elétrica: Orifício de 7/8” Para conduite; bobina classe F (BP), 9,7W de potência, tensão de operação de 24/DC, construção 3E.
 ";730,47;15;Sem TPL;Sem TPL;24/DC;DC;2/2;NF;"1/4""";NPT;Aço inoxidável 303;IP-40 (Uso geral);Sem operador manual;Orifício de 7/8” Para conduite;BP;F;simples;NBR;NBR;1,2;0,05;0;35;35;35;50;9,7;3E
-82620185;A210C094 220/50,240/60;"Válvula solenoide ASCO, simples, para uso geral 2/2 vias, normal fechada, sem operador manual, conexão ao processo em 1/4"" NPT, corpo em aço inoxidável 303, vedações em NBR, orifício de 3,2 mm, Kv = 0,30, pressão diferencial de operação (ar/gás): 0 à 10 bar; pressão diferencial de operação (água): 0 à 11 bar; pressão diferencial de operação (óleo): 0 à 6 bar;  temperatura máxima de 82 °C, classe de proteção IP-40 (Uso geral), conexão elétrica: Orifício de 7/8” Para conduite; bobina classe F (BP), 6W de potência, tensão de operação de 220/50,240/60, construção 3B.
 ";1430,22;50;Sem TPL;Sem TPL;220/50,240/60;AC;2/2;NF;"1/4""";NPT;Aço inoxidável 303;IP-40 (Uso geral);Sem operador manual;Orifício de 7/8” Para conduite;BP;F;simples;NBR;NBR;3,2;0,30;0;10;11;6;82;6;3B
-82620211;SCXA320A184 120/DC - 21091;"Válvula solenoide ASCO, simples, para uso geral, 2/2 vias, normal fechada, sem operador manual, conexão ao processo em 1/8"" NPT, corpo em aço inoxidável 303, vedações em NBR, orifício de 2,4 mm, Kv = 0,17, pressão diferencial de operação (ar/gás): 0 à 10 bar; pressão diferencial de operação (água): 0 à 10 bar; pressão diferencial de operação (óleo): 0 à 10 bar;  temperatura máxima de 50 °C, classe de proteção IP-65, conexão elétrica: Conector tipo plug-in com led e supressor; bobina classe F (BP), 9,7W de potência, tensão de operação de 120/DC, construção 1A.
TPL: Conector Plug in  com led e supressor para  válvula com bobina ""SC""
Tam.30";512,59;5;21091;"Conector Plug in  com led e supressor para  válvula com bobina ""SC""
Tam.30";120/DC;DC;2/2;NF;"1/8""";NPT;Aço inoxidável 303;IP-65;Sem operador manual;Conector tipo plug-in com led e supressor;BP;F;simples;NBR;NBR;2,4;0,17;0;10;10;10;50;9,7;1A
-82620238;R210C035V 24/DC;"Válvula solenoide ASCO, simples, para uso geral 2/2 vias, normal fechada, sem operador manual, conexão ao processo em 1/8"" NPT, corpo em aço inoxidável 303, vedações em Viton, orifício de 1,2 mm, Kv = 0,05, pressão diferencial de operação (ar/gás): 0 à 44 bar; pressão diferencial de operação (água): 0 à 44 bar; pressão diferencial de operação (óleo): 0 à 37 bar;  temperatura máxima de 50 °C, classe de proteção IP-40 (Uso geral), conexão elétrica: Orifício de 7/8” Para conduite; bobina classe F (BP), 9,7W de potência, tensão de operação de 24/DC, construção 1.
 ";956,74;65;Sem TPL;Sem TPL;24/DC;DC;2/2;NF;"1/8""";NPT;Aço inoxidável 303;IP-40 (Uso geral);Sem operador manual;Orifício de 7/8” Para conduite;BP;F;simples;Viton;NBR;1,2;0,05;0;44;44;37;50;9,7;1
-82620247;SCR210C087V 24/50;"Válvula solenoide ASCO, simples, para uso geral, 2/2 vias, normal fechada, sem operador manual, conexão ao processo em 1/4"" NPT, corpo em latão, vedações em Viton, orifício de 7,1 mm, Kv = 0,82, pressão diferencial de operação (ar/gás): 0 à 4,2 bar; pressão diferencial de operação (água): 0 à 5,2 bar; pressão diferencial de operação (óleo): 0 à 4,2 bar;  temperatura máxima de 82 °C, classe de proteção IP-65, conexão elétrica: Conector tipo plug-in (DIN 43650); bobina classe F (BP), 10,5W de potência, tensão de operação de 24/50, construção 2A.
 ";698,35;5;Sem TPL;Sem TPL;24/50;AC;2/2;NF;"1/4""";NPT;Latão;IP-65;Sem operador manual;Conector tipo plug-in (DIN 43650);BP;F;simples;Viton;NBR;7,1;0,82;0;4,2;5,2;4,2;82;10,5;2A
-82620250;SCXR210D002MS 120/60 - 11708;"Válvula solenoide ASCO, simples, para uso geral, 2/2 vias, normal fechada, com operador manual (parafuso), conexão ao processo em 1/4"" NPT, corpo em latão, vedações em NBR, orifício de 7,1 mm, Kv = 0,82, pressão diferencial de operação (ar/gás): 0 à 1,8 bar; pressão diferencial de operação (água): 0 à 2,4 bar; pressão diferencial de operação (óleo): 0 à 1,9 bar;  temperatura máxima de 82 °C, classe de proteção IP-65, conexão elétrica: Conector tipo plug-in (DIN 43650); bobina classe F (BP), 6W de potência, tensão de operação de 120/60, construção 2.
TPL: Operador Manual Tipo sanduiche (099069-19)";483,26;5;11708;Operador Manual Tipo sanduiche (099069-19);120/60;AC;2/2;NF;"1/4""";NPT;Latão;IP-65;Com operador manual (Parafuso);Conector tipo plug-in (DIN 43650);BP;F;simples;NBR;NBR;7,1;0,82;0;1,8;2,4;1,9;82;6;2
-82620263;PV8210C093 24/DC;"Válvula solenoide ASCO, simples, com proteção à prova de explosões, 2/2 vias, normal aberta, sem operador manual, conexão ao processo em 1/4"" NPT, corpo em latão, vedações em Viton, orifício de 4 mm, Kv = 0,42, pressão diferencial de operação (ar/gás): 0 à 3 bar; pressão diferencial de operação (água): 0 à 2 bar; pressão diferencial de operação (óleo): 0 à 2 bar;  temperatura máxima de 65 °C, proteção à prova de explosões, classe Ex mb llC Tx* Gb IP 67/Ex mb lllC Tz* Db IP 67, conexão elétrica: Saída a cabo (18 AWG ), 2 metros de comprimento 3 fios; bobina classe F (BP), 11,2W de potência, tensão de operação de 24/DC, construção 2D.
 ";1857,61;90;Sem TPL;Sem TPL;24/DC;DC;2/2;NA;"1/4""";NPT;Latão;Ex mb llC Tx* Gb IP 67/Ex mb lllC Tz* Db IP 67;Sem operador manual;Saída a cabo (18 AWG ), 2 metros de comprimento 3 fios;BP;F;simples;Viton;NBR;4;0,42;0;3;2;2;65;11,2;2D
-82620264;SCX8353-039J 24/DC - 21091;"Válvula solenoide ASCO, simples, para uso geral, 2/2 vias, normal fechada, sem operador manual, conexão ao processo em 1/8"" NPT, corpo em aço inoxidável 303, vedações em Neopreno, orifício de 3,2 mm, Kv = 0,29, pressão diferencial de operação (ar/gás): 0 à 5,4 bar; pressão diferencial de operação (água): 0 à 5,4 bar; pressão diferencial de operação (óleo): 0 à 5,4 bar;  temperatura máxima de 50 °C, classe de proteção IP-65, conexão elétrica: Conector tipo plug-in com led e supressor; bobina classe F (BP), 9,7W de potência, tensão de operação de 24/DC, construção 1A.
TPL: Conector Plug in  com led e supressor para  válvula com bobina ""SC""
Tam.30";491,64;50;21091;"Conector Plug in  com led e supressor para  válvula com bobina ""SC""
Tam.30";24/DC;DC;2/2;NF;"1/8""";NPT;Aço inoxidável 303;IP-65;Sem operador manual;Conector tipo plug-in com led e supressor;BP;F;simples;Neopreno;NBR;3,2;0,29;0;5,4;5,4;5,4;50;9,7;1A
-82620269;SDC8210-112A  110/50,120/60;"Válvula solenoide ASCO, simples, para uso geral 2/2 vias, normal aberta, sem operador manual, conexão ao processo em 1/4"" NPT, corpo em latão, vedações em Uretano, orifício de 1,2 mm, Kv = 0,05, pressão diferencial de operação (ar/gás): 0 à 51 bar; pressão diferencial de operação (água): 0 à 48 bar; pressão diferencial de operação (óleo): 0 à 48 bar;  temperatura máxima de 60 °C, classe de proteção IP-40 (Uso geral), conexão elétrica: Orifício de 7/8” Para conduite; bobina classe F (BP), 10,5W de potência, tensão de operação de 120/60, construção 2C.
 ";1487,48;35;Sem TPL;Sem TPL;120/60;AC;2/2;NA;"1/4""";NPT;Latão;IP-40 (Uso geral);Sem operador manual;Orifício de 7/8” Para conduite;BP;F;simples;Uretano;Uretano;1,2;0,05;0;51;48;48;60;10,5;2C
-82620270;SC8210-112V  220/50,240/60;"Válvula solenoide ASCO, simples, para uso geral, 2/2 vias, normal aberta, sem operador manual, conexão ao processo em 1/4"" NPT, corpo em latão, vedações em Viton, orifício de 1,2 mm, Kv = 0,05, pressão diferencial de operação (ar/gás): 0 à 51 bar; pressão diferencial de operação (água): 0 à 48 bar; pressão diferencial de operação (óleo): 0 à 48 bar;  temperatura máxima de 60 °C, classe de proteção IP-65, conexão elétrica: Conector tipo plug-in (DIN 43650); bobina classe F (BP), 10,5W de potência, tensão de operação de 220/50,240/60, construção 2C.
 ";1487,48;35;Sem TPL;Sem TPL;220/50,240/60;AC;2/2;NA;"1/4""";NPT;Latão;IP-65;Sem operador manual;Conector tipo plug-in (DIN 43650);BP;F;simples;Viton;Uretano;1,2;0,05;0;51;48;48;60;10,5;2C
-82620276;EFX8210G004V  24/DC - 24180;"Válvula solenoide ASCO, simples, com proteção à prova de explosões, 2/2 vias, normal aberta, sem operador manual, conexão ao processo em 1/4"" NPT, corpo em latão, vedações em Viton, orifício de 1,2 mm, Kv = 0,05, pressão diferencial de operação (ar/gás): 0 à 34 bar; pressão diferencial de operação (água): 0 à 34 bar; pressão diferencial de operação (óleo): 0 à 34 bar;  temperatura máxima de 60 °C, proteção à prova de explosões, classe Ex db mb llC T* Gb/Ex db mb llC T* Db Ip66, conexão elétrica: Aço Carbono; 1/2”NPT (F) a 3 fios (18 AWG); bobina classe F (BP), 11,2W de potência, tensão de operação de 24/DC, construção 2C.
TPL: Base com furo para trava e parafuso";1508,43;35;24180;Base com furo para trava e parafuso;24/DC;DC;2/2;NA;"1/4""";NPT;Latão;Ex db mb llC T* Gb/Ex db mb llC T* Db Ip66;Sem operador manual;"Aço Carbono; 1/2”NPT (F) a 3 fios (18 AWG)";BP;F;simples;Viton;Uretano;1,2;0,05;0;34;34;34;60;11,2;2C
-82620277;SC8210C094HW  110/50,120/60;"Válvula solenoide ASCO, simples, para uso geral, 2/2 vias, normal aberta, sem operador manual, conexão ao processo em 1/4"" NPT, corpo em latão, vedações em Uretano, orifício de 1,2 mm, Kv = 0,05, pressão diferencial de operação (ar/gás): 0 à 51 bar; pressão diferencial de operação (água): 0 à 48 bar; pressão diferencial de operação (óleo): 0 à 48 bar;  temperatura máxima de 60 °C, classe de proteção IP-65, conexão elétrica: Conector tipo plug-in (DIN 43650); bobina classe F (BP), 10,5W de potência, tensão de operação de 110/50,120/60, construção 2C.
 ";1508,43;35;Sem TPL;Sem TPL;110/50,120/60;AC;2/2;NA;"1/4""";NPT;Latão;IP-65;Sem operador manual;Conector tipo plug-in (DIN 43650);BP;F;simples;Uretano;Uretano;1,2;0,05;0;51;48;48;60;10,5;2C
-82620280;EF8210G030V  24/DC;"Válvula solenoide ASCO, simples, com proteção à prova de explosões, 2/2 vias, normal aberta, sem operador manual, conexão ao processo em 1/4"" NPT, corpo em latão, vedações em Viton, orifício de 1,2 mm, Kv = 0,05, pressão diferencial de operação (ar/gás): 0 à 34 bar; pressão diferencial de operação (água): 0 à 34 bar; pressão diferencial de operação (óleo): 0 à 34 bar;  temperatura máxima de 60 °C, proteção à prova de explosões, classe Ex db mb llC T* Gb/Ex db mb llC T* Db Ip66, conexão elétrica: Aço Carbono; 1/2”NPT (F) a 3 fios (18 AWG); bobina classe F (BP), 11,2W de potência, tensão de operação de 24/DC, construção 2C.
 ";1487,48;10;Sem TPL;Sem TPL;24/DC;DC;2/2;NA;"1/4""";NPT;Latão;Ex db mb llC T* Gb/Ex db mb llC T* Db Ip66;Sem operador manual;"Aço Carbono; 1/2”NPT (F) a 3 fios (18 AWG)";BP;F;simples;Viton;Uretano;1,2;0,05;0;34;34;34;60;11,2;2C
-82620283;SC8210C093HW  110/50,120/60;"Válvula solenoide ASCO, simples, para uso geral, 2/2 vias, normal aberta, sem operador manual, conexão ao processo em 1/4"" NPT, corpo em latão, vedações em Uretano, orifício de 1,2 mm, Kv = 0,05, pressão diferencial de operação (ar/gás): 0 à 51 bar; pressão diferencial de operação (água): 0 à 48 bar; pressão diferencial de operação (óleo): 0 à 48 bar;  temperatura máxima de 60 °C, classe de proteção IP-65, conexão elétrica: Conector tipo plug-in (DIN 43650); bobina classe F (BP), 10,5W de potência, tensão de operação de 110/50,120/60, construção 2C.
 ";1713,89;35;Sem TPL;Sem TPL;110/50,120/60;AC;2/2;NA;"1/4""";NPT;Latão;IP-65;Sem operador manual;Conector tipo plug-in (DIN 43650);BP;F;simples;Uretano;Uretano;1,2;0,05;0;51;48;48;60;10,5;2C
-82620290;SDC8210-112A  24/DC;"Válvula solenoide ASCO, simples, para uso geral 2/2 vias, normal aberta, sem operador manual, conexão ao processo em 1/4"" NPT, corpo em latão, vedações em Uretano, orifício de 2,4 mm, Kv = 0,14, pressão diferencial de operação (ar/gás): 0 à 14 bar; pressão diferencial de operação (água): 0 à 10 bar; pressão diferencial de operação (óleo): 0 à 9 bar;  temperatura máxima de 60 °C, classe de proteção IP-40 (Uso geral), conexão elétrica: Orifício de 7/8” Para conduite; bobina classe F (BP), 11,2W de potência, tensão de operação de 24/DC, construção 2C.
 ";1487,48;35;Sem TPL;Sem TPL;24/DC;DC;2/2;NA;"1/4""";NPT;Latão;IP-40 (Uso geral);Sem operador manual;Orifício de 7/8” Para conduite;BP;F;simples;Uretano;Uretano;2,4;0,14;0;14;10;9;60;11,2;2C
-82620291;SCHB8210C088MS  120/60;"Válvula solenoide ASCO, simples, para uso geral, 2/2 vias, normal aberta, com operador manual (parafuso), conexão ao processo em 1/4"" NPT, corpo em latão, vedações em Uretano, orifício de 2,4 mm, Kv = 0,14, pressão diferencial de operação (ar/gás): 0 à 20 bar; pressão diferencial de operação (água): 0 à 17 bar; pressão diferencial de operação (óleo): 0 à 16 bar;  temperatura máxima de 60 °C, classe de proteção IP-65, conexão elétrica: Conector tipo plug-in (DIN 43650); bobina classe H (BP), 10,5W de potência, tensão de operação de 120/60, construção 2C.
 ";1487,48;35;Sem TPL;Sem TPL;120/60;AC;2/2;NA;"1/4""";NPT;Latão;IP-65;Com operador manual (Parafuso);Conector tipo plug-in (DIN 43650);BP;H;simples;Uretano;Uretano;2,4;0,14;0;20;17;16;60;10,5;2C
-82620295;SCR210D004 220/50, 240/60;"Válvula solenoide ASCO, simples, para uso geral, 2/2 vias, normal aberta, sem operador manual, conexão ao processo em 1/8"" NPT, corpo em latão, vedações em NBR, orifício de 2,4 mm, Kv = 0,13, pressão diferencial de operação (ar/gás): 0 à 19 bar; pressão diferencial de operação (água): 0 à 14 bar; pressão diferencial de operação (óleo): 0 à 10 bar;  temperatura máxima de 82 °C, classe de proteção IP-65, conexão elétrica: Conector tipo plug-in (DIN 43650); bobina classe F (BP), 6W de potência, tensão de operação de 220/50,240/60, construção 1B.
 ";593,76;45;Sem TPL;Sem TPL;220/50,240/60;AC;2/2;NA;"1/8""";NPT;Latão;IP-65;Sem operador manual;Conector tipo plug-in (DIN 43650);BP;F;simples;NBR;NBR;2,4;0,13;0;19;14;10;82;6;1B
-82620296;SC8210D189  24/DC;"Válvula solenoide ASCO, simples, para uso geral, 2/2 vias, normal aberta, sem operador manual, conexão ao processo em 1/4"" NPT, corpo em latão, vedações em Uretano, orifício de 2,4 mm, Kv = 0,14, pressão diferencial de operação (ar/gás): 0 à 14 bar; pressão diferencial de operação (água): 0 à 10 bar; pressão diferencial de operação (óleo): 0 à 9 bar;  temperatura máxima de 60 °C, classe de proteção IP-65, conexão elétrica: Conector tipo plug-in (DIN 43650); bobina classe F (BP), 11,2W de potência, tensão de operação de 24/DC, construção 2C.
 ";1509,83;35;Sem TPL;Sem TPL;24/DC;DC;2/2;NA;"1/4""";NPT;Latão;IP-65;Sem operador manual;Conector tipo plug-in (DIN 43650);BP;F;simples;Uretano;Uretano;2,4;0,14;0;14;10;9;60;11,2;2C
-82620298;SCHC8210D095  125/DC;"Válvula solenoide ASCO, simples, para uso geral, 2/2 vias, normal aberta, sem operador manual, conexão ao processo em 1/4"" NPT, corpo em latão, vedações em Uretano, orifício de 2,4 mm, Kv = 0,14, pressão diferencial de operação (ar/gás): 0 à 14 bar; pressão diferencial de operação (água): 0 à 10 bar; pressão diferencial de operação (óleo): 0 à 9 bar;  temperatura máxima de 60 °C, classe de proteção IP-65, conexão elétrica: Conector tipo plug-in (DIN 43650); bobina classe H (BP), 11,2W de potência, tensão de operação de 125/DC, construção 2C.
 ";1509,83;35;Sem TPL;Sem TPL;125/DC;DC;2/2;NA;"1/4""";NPT;Latão;IP-65;Sem operador manual;Conector tipo plug-in (DIN 43650);BP;H;simples;Uretano;Uretano;2,4;0,14;0;14;10;9;60;11,2;2C
-82620300;SC8210C033N  24/DC;"Válvula solenoide ASCO, simples, para uso geral, 2/2 vias, normal aberta, sem operador manual, conexão ao processo em 1/4"" NPT, corpo em latão, vedações em Borracha nitrílica, orifício de 2,4 mm, Kv = 0,14, pressão diferencial de operação (ar/gás): 0 à 14 bar; pressão diferencial de operação (água): 0 à 10 bar; pressão diferencial de operação (óleo): 0 à 9 bar;  temperatura máxima de 60 °C, classe de proteção IP-65, conexão elétrica: Conector tipo plug-in (DIN 43650); bobina classe F (BP), 11,2W de potência, tensão de operação de 24/DC, construção 2C.
 ";1487,48;15;Sem TPL;Sem TPL;24/DC;DC;2/2;NA;"1/4""";NPT;Latão;IP-65;Sem operador manual;Conector tipo plug-in (DIN 43650);BP;F;simples;Borracha nitrílica;Uretano;2,4;0,14;0;14;10;9;60;11,2;2C
-82620301;8210-112V  24/DC;"Válvula solenoide ASCO, simples, para uso geral 2/2 vias, normal aberta, sem operador manual, conexão ao processo em 1/4"" NPT, corpo em latão, vedações em Viton, orifício de 2,4 mm, Kv = 0,14, pressão diferencial de operação (ar/gás): 0 à 14 bar; pressão diferencial de operação (água): 0 à 10 bar; pressão diferencial de operação (óleo): 0 à 9 bar;  temperatura máxima de 60 °C, classe de proteção IP-40 (Uso geral), conexão elétrica: Orifício de 7/8” Para conduite; bobina classe F (BP), 11,2W de potência, tensão de operação de 24/DC, construção 2C.
 ";1487,48;10;Sem TPL;Sem TPL;24/DC;DC;2/2;NA;"1/4""";NPT;Latão;IP-40 (Uso geral);Sem operador manual;Orifício de 7/8” Para conduite;BP;F;simples;Viton;Uretano;2,4;0,14;0;14;10;9;60;11,2;2C
